Edge ID,Capacity (vehicles/hour)
:10087263235_0,73.33333333333333
:10087263235_2,30.0
:10087263236_0,73.33333333333333
:10087263237_0,73.33333333333333
:10087263237_2,40.0
:10087263237_4,40.0
:10087263237_6,90.0
:10087263244_0,146.66666666666666
:10087263245_0,146.66666666666666
:10087263254_0,20.0
:10087263254_1,73.33333333333333
:10087263254_3,73.33333333333333
:10087263254_5,20.0
:10087263254_6,20.0
:10087263255_0,20.0
:10087263255_1,73.33333333333333
:10087263258_0,20.0
:10087263258_1,20.0
:10087263258_2,73.33333333333333
:10087263258_4,20.0
:10087263260_0,20.0
:10087263260_1,73.33333333333333
:10087263260_3,20.0
:10087263260_4,20.0
:10087263265_0,20.0
:10087263265_1,20.0
:10087263271_0,20.0
:10087263271_1,36.666666666666664
:10087263271_2,73.33333333333333
:10087263271_4,20.0
:10087263271_5,40.0
:10087263271_7,20.0
:10087263274_0,20.0
:10087263274_1,73.33333333333333
:10087263274_3,73.33333333333333
:10087263274_5,20.0
:10087263274_6,20.0
:10087263276_0,20.0
:10087263276_1,73.33333333333333
:10087263277_0,20.0
:10087263277_1,20.0
:10087263277_2,20.0
:10087263277_3,73.33333333333333
:10087263279_0,20.0
:10087263279_1,36.666666666666664
:10087263279_2,73.33333333333333
:10087263279_4,20.0
:10087263281_0,20.0
:10087263281_1,73.33333333333333
:10087263281_3,36.666666666666664
:10087263281_4,20.0
:10087263283_0,20.0
:10087263284_0,20.0
:10087263284_1,73.33333333333333
:10087263284_3,73.33333333333333
:10087263284_5,20.0
:10087263284_6,20.0
:10087263286_0,73.33333333333333
:10087263286_2,20.0
:10087263294_0,73.33333333333333
:10087263294_2,20.0
:10087263294_6,20.0
:10087263294_3,20.0
:10087263294_4,73.33333333333333
:10087263298_0,30.0
:10087263298_1,20.0
:10087263299_0,20.0
:10087263299_1,20.0
:10087263299_2,20.0
:10087263299_3,20.0
:10087263299_4,30.0
:10087263299_5,20.0
:10087263299_6,20.0
:10087263299_7,20.0
:10087263299_8,20.0
:10087263300_0,30.0
:10087263300_1,20.0
:10087263304_0,60.0
:10087263304_2,90.0
:10087263306_0,20.0
:10087263306_1,20.0
:10087263306_2,20.0
:10087263306_3,20.0
:10087263308_0,36.666666666666664
:10087263308_1,36.666666666666664
:10087263309_0,20.0
:10087263309_1,20.0
:10087263309_2,20.0
:10087263309_9,20.0
:10087263309_3,20.0
:10087263309_4,20.0
:10087263309_5,20.0
:10087263309_6,20.0
:10087263309_7,20.0
:10087263309_8,20.0
:10087263309_10,20.0
:10087263309_11,20.0
:10087263310_0,20.0
:10087263310_1,36.666666666666664
:10087263310_2,20.0
:10087263310_3,20.0
:10096399941_0,60.0
:10096399941_3,110.0
:10096399941_6,30.0
:10096399941_7,146.66666666666666
:10096399941_11,40.0
:10096399941_13,20.0
:10096399943_0,36.666666666666664
:10096399943_1,146.66666666666666
:10096399979_0,20.0
:10096399979_1,20.0
:10096399995_0,56.666666666666664
:10096399998_0,73.33333333333333
:10203056858_0,40.0
:10203056866_0,73.33333333333333
:10203056871_0,73.33333333333333
:10203183022_0,110.0
:10208380810_0,20.0
:10208380810_1,20.0
:10208430118_0,20.0
:10208430118_1,20.0
:10208599366_0,36.666666666666664
:10208599366_1,20.0
:10208599368_0,73.33333333333333
:10208599368_2,146.66666666666666
:10208655991_0,146.66666666666666
:10208655991_4,110.0
:10208655995_0,36.666666666666664
:10208655995_1,73.33333333333333
:10208656003_0,90.0
:10208656003_3,30.0
:10208656004_0,36.666666666666664
:10208656004_1,73.33333333333333
:10208768692_0,30.0
:10208768692_1,20.0
:10208768692_2,36.666666666666664
:10208768692_3,20.0
:10208768692_6,20.0
:10208768692_4,36.666666666666664
:10208768692_5,20.0
:10208768692_7,20.0
:10208768693_0,20.0
:10208768700_0,20.0
:10208768700_1,73.33333333333333
:10208768700_3,36.666666666666664
:10208768700_4,20.0
:10209018538_0,73.33333333333333
:10209018539_0,30.0
:10209018544_0,110.0
:10209018545_0,110.0
:10209018564_0,20.0
:10209018564_1,20.0
:10209018568_0,20.0
:10209018568_1,20.0
:10209018573_0,20.0
:10209018573_1,20.0
:10209018581_0,20.0
